,pup_id,weight,sex,litter,litsize,treatment
207,208,5.32,Male,17,14,Low
208,209,5.89,Male,17,14,Low
209,210,5.63,Female,17,14,Low
210,211,5.12,Female,17,14,Low
211,212,5.65,Female,17,14,Low
212,213,5.29,Female,17,14,Low
213,214,5.13,Female,17,14,Low
214,215,5.6,Female,17,14,Low
215,216,5.08,Female,17,14,Low
216,217,6.77,Male,18,15,Low
217,218,7.13,Male,18,15,Low
218,219,6.85,Male,18,15,Low
219,220,6.49,Female,18,15,Low
220,221,6.09,Female,18,15,Low
221,222,6.09,Female,18,15,Low
222,223,5.99,Female,18,15,Low
223,224,6.01,Female,18,15,Low
224,225,6.11,Female,18,15,Low
225,226,6.15,Female,18,15,Low
226,227,4.75,Female,18,15,Low
227,228,5.69,Female,18,15,Low
228,229,6.19,Female,18,15,Low
229,230,5.72,Female,18,15,Low
230,231,6.14,Female,18,15,Low
231,232,6.72,Male,19,10,Low
232,233,6.34,Male,19,10,Low
233,234,6.48,Male,19,10,Low
234,235,5.74,Male,19,10,Low
235,236,6.11,Female,19,10,Low
236,237,5.71,Female,19,10,Low
237,238,6.41,Female,19,10,Low
238,239,6.21,Female,19,10,Low
239,240,6.11,Female,19,10,Low
240,241,5.81,Female,19,10,Low
241,242,5.9,Male,20,16,Low
242,243,6.22,Male,20,16,Low
243,244,6.67,Male,20,16,Low
244,245,6.23,Male,20,16,Low
245,246,6.24,Male,20,16,Low
246,247,6.26,Male,20,16,Low
247,248,6.38,Male,20,16,Low
248,249,6.05,Male,20,16,Low
249,250,5.89,Male,20,16,Low
250,251,6.29,Male,20,16,Low
251,252,6.12,Female,20,16,Low
252,253,5.4,Female,20,16,Low
253,254,5.5,Female,20,16,Low
254,255,5.46,Female,20,16,Low
255,256,5.97,Female,20,16,Low
256,257,6.11,Female,20,16,Low
257,258,5.09,Male,21,14,High
258,259,5.57,Male,21,14,High
259,260,5.69,Male,21,14,High
260,261,5.5,Male,21,14,High
261,262,5.45,Male,21,14,High
262,263,5.24,Male,21,14,High
263,264,5.36,Male,21,14,High
264,265,5.26,Male,21,14,High
265,266,5.36,Male,21,14,High
266,267,5.01,Male,21,14,High
267,268,5.03,Male,21,14,High
268,269,5.23,Female,21,14,High
269,270,5.13,Female,21,14,High
270,271,4.48,Female,21,14,High
271,272,5.3,Male,22,10,High
272,273,5.4,Male,22,10,High
273,274,5.55,Male,22,10,High
274,275,6.02,Male,22,10,High
275,276,5.27,Male,22,10,High
276,277,5.19,Female,22,10,High
277,278,5.42,Female,22,10,High
278,279,5.4,Female,22,10,High
279,280,5.12,Female,22,10,High
280,281,5.4,Female,22,10,High
281,282,7.7,Male,23,3,High
282,283,7.68,Female,23,3,High
283,284,6.33,Female,23,3,High
284,285,6.28,Male,24,12,High
285,286,5.74,Male,24,12,High
286,287,6.29,Male,24,12,High
287,288,5.68,Female,24,12,High
288,289,5.76,Female,24,12,High
289,290,6.03,Female,24,12,High
290,291,5.3,Female,24,12,High
291,292,5.55,Female,24,12,High
292,293,6.53,Female,24,12,High
293,294,5.76,Female,24,12,High
294,295,5.77,Female,24,12,High
295,296,5.49,Female,24,12,High
296,297,6.5,Male,25,8,High
297,298,7.1,Male,25,8,High
298,299,7.0,Male,25,8,High
299,300,7.0,Male,25,8,High
300,301,5.85,Male,25,8,High
301,302,6.1,Female,25,8,High
302,303,6.63,Female,25,8,High
303,304,6.33,Female,25,8,High
304,305,7.0,Male,26,9,High
305,306,6.15,Male,26,9,High
306,307,6.22,Female,26,9,High
307,308,6.2,Female,26,9,High
308,309,5.76,Female,26,9,High
309,310,6.21,Female,26,9,High
310,311,6.42,Female,26,9,High
311,312,6.42,Female,26,9,High
312,313,6.3,Female,26,9,High
313,314,5.64,Male,27,9,High
314,315,6.06,Male,27,9,High
315,316,6.56,Male,27,9,High
316,317,6.29,Male,27,9,High
317,318,5.69,Male,27,9,High
318,319,6.36,Male,27,9,High
319,320,5.93,Female,27,9,High
320,321,5.74,Female,27,9,High
321,322,5.74,Female,27,9,High
